Positive	Negative	Text	Explanation
1	-1	Merge pull request #1379 from benjchristensen/parallel  Parallel Operator Rewrite	Merge pull request #1379 from benjchristensen /parallel Parallel Operator Rewrite [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1378 from benjchristensen/pivot  BugFix: Pivot Concurrency	Merge pull request #1378 from benjchristensen /pivot BugFix :Pivot Concurrency [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Parallel Operator Rewrite  A rewrite of the `parallel` operator that is more efficient by not using `groupBy` and ready to support backpressure.	Parallel Operator Rewrite A rewrite of the `parallel `operator that is more efficient by not using `groupBy `and ready to support[2]backpressure .[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	BugFix: Pivot Concurrency	BugFix :Pivot Concurrency [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Enable FlightRecorder for JMH Tests	Enable FlightRecorder for JMH Tests [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	1000000 is too much  ... for these tests.	1000000 [+0.6 spelling mood emphasis]is too much ...[sentence: 2,-1] for these tests .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Disable flatMapTwoNestedAsync for now  it runs out of memory in JMH	Disable[-2]flatMapTwoNestedAsync for now it runs out of memory in JMH [sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Update README.txt	Update README .[sentence: 1,-1] txt [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1376 from benjchristensen/jmh  Revision of JMH Tests	Merge pull request #1376 from benjchristensen /jmh Revision of JMH Tests [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Revision of JMH Tests  - removal of all non-JMH perf tests	Revision of JMH Tests -removal of all non -JMH perf tests [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'master' of https://github.com/Netflix/RxJava into docs	Merge branch 'master 'of https ://github .[sentence: 1,-1] com /Netflix /RxJava into docs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	More work on #1322 (missing javadocs)	More work on #1322 (missing javadocs )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1375 from zsxwing/rxscala-toXXX  RxScala: Add idiomatic toXXX methods	Merge pull request #1375 from zsxwing /rxscala -toXXX RxScala :Add idiomatic toXXX methods [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Avoid the cast in toSet and toBuffer	Avoid[-2]the cast in toSet and toBuffer [sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Add idiomatic toXXX methods to RxScala	Add idiomatic toXXX methods to RxScala [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #1367 from zsxwing/swallow-error  Fix the bug that 'flatMap' swallows OnErrorNotImplementedException	Merge pull request #1367 from zsxwing /swallow -error[-2]Fix the bug[-2]that 'flatMap 'swallows OnErrorNotImplementedException [sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Merge pull request #1374 from nitsanw/master  Fix head/tail false sharing issues	Merge pull request #1374 from nitsanw /master Fix head /tail false sharing issues [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Javadoc changes to help fix #1322	Javadoc changes to help fix #1322 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fix head/tail false sharing issues.	Fix head /tail false sharing issues .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	adding markdown version of operator decision tree	adding markdown version of operator decision tree [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1369 from mattrjacobs/fix-debug-hook  DebugHook got miswired before	Merge pull request #1369 from mattrjacobs /fix -debug -hook DebugHook got miswired before [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	adding the rest of the operators, tidying up, adding some color	adding the rest of the operators ,tidying up ,adding some color [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	DebugHook got miswired before	DebugHook got miswired before [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Fix the bug that 'flatMap' swallows OnErrorNotImplementedException	Fix the bug[-2]that 'flatMap 'swallows OnErrorNotImplementedException [sentence: 1,-2] [result: max + and - of any sentence]
2	-1	several new operators; improved CSS	several new operators ;improved[2]CSS [sentence: 2,-1] [result: max + and - of any sentence]
1	-1	now in spectacular Valid-HTML-o-Vision with previously unshown scenes	now in spectacular Valid -HTML -o -Vision with previously unshown scenes [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Work in progress: an HTML definition-list version of Paul Taylor's RxJS decision trees, for RxJava.	Work in progress :an HTML definition -list version of Paul Taylor's RxJS decision trees ,for RxJava .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1361 from samueltardieu/queued-actions  Fix a race condition if queued actions have been handled already	Merge pull request #1361 from samueltardieu /queued -actions Fix a race condition if queued actions have been handled already [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #1336 from zsxwing/rxscala-bo  RxScala: Add the rest missing methods to BlockingObservable	Merge pull request #1336 from zsxwing /rxscala -bo RxScala :Add the rest missing methods to BlockingObservable[-2][sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Merge pull request #1362 from zsxwing/rxscala-create  RxScala: Fix #1340 and #1343	Merge pull request #1362 from zsxwing /rxscala -create RxScala :Fix #1340 and #1343 [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Remove '/*XXX*/'	Remove '/*XXX[2]*/'[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Implement 'create' in RxScala	Implement 'create 'in RxScala [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fix a race condition if queued actions have been handled already	Fix a race condition if queued actions have been handled already [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'master' of https://github.com/Netflix/RxJava into docs	Merge branch 'master 'of https ://github .[sentence: 1,-1] com /Netflix /RxJava into docs [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1359 from akarnokd/MpscLinkedQueuePadding  Fixed padding of the integer and node classes.	Merge pull request #1359 from akarnokd /MpscLinkedQueuePadding Fixed padding of the integer and node classes .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fixed padding of the integer and node classes.	Fixed padding of the integer and node classes .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	"wiki-" prefix no longer required for anchor names in github wiki pages also: correct one parameter name in javadoc comments	'wiki -'prefix no longer required for anchor names in github wiki pages also :correct one parameter name in javadoc comments [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	add @since annotations to javadocs of new ...With() instance variants	add @since annotations to javadocs of new ...[sentence: 1,-1] With ()instance variants [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Version 0.19.1	Version 0 .[sentence: 1,-1] 19 .1 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - new version commit:  '0.19.2-SNAPSHOT'.	[Gradle Release Plugin ]-new version commit :'0 .[sentence: 1,-1] 19 .[sentence: 1,-1] 2 -SNAPSHOT '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - pre tag commit:  '0.19.1'.	[Gradle Release Plugin ]-pre tag commit :'0 .[sentence: 1,-1] 19 .[sentence: 1,-1] 1 '.[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #1357 from benjchristensen/mergeWith-and-friends  MergeWith, ConcatWith, AmbWith	Merge pull request #1357 from benjchristensen /mergeWith -and -friends[2]MergeWith ,ConcatWith ,AmbWith [sentence: 2,-1] [result: max + and - of any sentence]
3	-2	MergeWith, ConcatWith, AmbWith  Single-arity instance versions of merge, concat and amb. Since we can't use the `merge`/`concat`/`amb` names on both static and instance methods, these have the `With` suffix, which actually reads quite well.  ```java o.mergeWith(o2).subscribe(ts); o.concatWith(o2).subscribe(ts); o.ambWith(o2).subscribe(ts); ```  If we feel the need for more arities fine, but I wanted to start simple.  This originated from discussions with @headinthebox and over a year of wanting instance methods for `merge`.	MergeWith ,ConcatWith ,AmbWith Single -arity instance versions of merge ,concat and amb .[sentence: 1,-1] Since we can't use the `merge `/`concat `/`amb `names on both static[-2]and instance methods ,these have the `With `suffix ,which actually reads quite well .[sentence: 1,-2] ```java o .[sentence: 1,-1] mergeWith (o2 ).[sentence: 1,-1] subscribe (ts );o .[sentence: 1,-1] concatWith (o2 ).[sentence: 1,-1] subscribe (ts );o .[sentence: 1,-1] ambWith (o2 ).[sentence: 1,-1] subscribe (ts );```If we feel the need for more arities fine[3],but I wanted to start simple .[sentence: 3,-1] This originated from discussions with @headinthebox and over a year of wanting instance methods for `merge `.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1345 from jbripley/doblock-simplify  RxScala: Simplify doOnCompleted/Terminate, finallyDo callback usage	Merge pull request #1345 from jbripley /doblock -simplify RxScala :Simplify doOnCompleted /Terminate ,finallyDo callback usage [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #1337 from zsxwing/fix-toFuture  Make Future receive NoSuchElementException when the BlockingObservable is empty	Merge pull request #1337 from zsxwing /fix -toFuture Make Future receive NoSuchElementException when the BlockingObservable[-2]is empty [sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Merge pull request #1335 from mttkay/android-gradle-0.11  Bump build tools to 19.1 and android plugin to 0.11	Merge pull request #1335 from mttkay /android -gradle -0 .[sentence: 1,-1] 11 Bump build tools to 19 .[sentence: 1,-1] 1 and android plugin to 0 .[sentence: 1,-1] 11 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1327 from akarnokd/MoreJoinPatterns  Join patterns extension for 4..9 and N arity joins.	Merge pull request #1327 from akarnokd /MoreJoinPatterns Join patterns extension for 4 ..[sentence: 1,-1] 9 and N arity joins .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #1321 from dpsm/master  Ensuring Runnables posted with delay to a Handler are removed when unsub...	Merge pull request #1321 from dpsm /master Ensuring Runnables posted with delay[-2]to a Handler are removed when unsub ...[sentence: 1,-2] [result: max + and - of any sentence]
1	-2	Merge pull request #1347 from samueltardieu/unsubscribe-from-periodic  Allow use of the returned subscription to cancel periodic scheduling	Merge pull request #1347 from samueltardieu /unsubscribe -from -periodic Allow use of the returned subscription to cancel[-2]periodic scheduling [sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Merge pull request #1355 from akarnokd/ReplaySubjectDontAddUnsubscribedChild  Don't add the subscriber to the manager if it unsubscribed during the on...	Merge pull request #1355 from akarnokd /ReplaySubjectDontAddUnsubscribedChild Don't add the subscriber to the manager if it unsubscribed during the on ...[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Improve docs of 'toFuture'	Improve[2]docs of 'toFuture '[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	language-adaptors/rxjava-scala/src/examples/scala/rx/lang/scala/examples/RxScalaDemo.scala	language -adaptors /rxjava -scala /src /examples /scala /rx /lang /scala /examples /RxScalaDemo .[sentence: 1,-1] scala [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Don't add the subscriber to the manager if it unsubscribed during the onStart call	Don't add the subscriber to the manager if it unsubscribed during the onStart call [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1350 from benjchristensen/perf-tests  Baseline Performance Tests	Merge pull request #1350 from benjchristensen /perf -tests Baseline Performance Tests [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Baseline Performance Tests  Start of suite of general performance tests for comparing overall changes.	Baseline Performance Tests Start of suite of general performance tests for comparing overall changes .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Allow use of the returned subscription to cancel periodic scheduling  The documentation for schedulePeriodically indicates that the returned subscription can be used to unsubscribe from the periodic action, or to unschedule it if it has not been scheduled yet. That was the case only before the first action took place, and it was then impossible to unsubscribe using the given subscription, although unsubscribing the worker did work.	Allow use of the returned subscription to cancel[-2]periodic scheduling The documentation for schedulePeriodically indicates that the returned subscription can be used to unsubscribe from the periodic action ,or to unschedule it if it has not been scheduled yet .[sentence: 1,-2] That was the case only before the first action took place ,and it was then impossible to unsubscribe using the given subscription ,although unsubscribing the worker did work .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	RxScala: Simplify doOnCompleted/Terminate, finallyDo callback usage	RxScala :Simplify doOnCompleted /Terminate ,finallyDo callback usage [sentence: 1,-1] [result: max + and - of any sentence]
