Positive	Negative	Text	Explanation
1	-1	Switch the last SerialResource to manual resource management. (#4112)	Switch the last SerialResource to manual resource management .[sentence: 1,-1] (#4112 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: make sure the helper returns true if the pre-swap value was null (#4107)	2 .[sentence: 1,-1] x[2]:make sure the helper returns true[2]if the pre -swap value[2]was null (#4107 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Invert subscription validation return type for better semantics. (#4108)	Invert subscription validation return type for better semantics .[sentence: 1,-1] (#4108 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Remove explicit cancel flags where it can be inferred. (#4106)	Remove explicit cancel[-2]flags where it can be inferred .[sentence: 1,-2] (#4106 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Remove some superfluous reads before writes. (#4105)	Remove some superfluous[-2][--1 booster word]reads before writes .[sentence: 1,-1] (#4105 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Expose isDisposed method on Disposable. (#4102)	Expose[-2]isDisposed method on Disposable .[sentence: 1,-2] (#4102 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: prepare the operator-fusion enhancement (#4103)	2 .[sentence: 1,-1] x[2]:prepare the operator -fusion enhancement (#4103 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Switch a SerialResource use to SerialDisposable. (#4101)	Switch a SerialResource use to SerialDisposable .[sentence: 1,-1] (#4101 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Add PMD (#4100)	2 .[sentence: 1,-1] x[2]:Add PMD (#4100 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: convert Observable OnSubscribe to direct implementation (#4096)	2 .[sentence: 1,-1] x[2]:convert Observable OnSubscribe to direct implementation (#4096 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Invert request validation return type for better semantics. (#4095)	Invert request validation return type for better semantics .[sentence: 1,-1] (#4095 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Remove EmptySubscriber, start to remove NbpEmptySubscriber. (#4094)	Remove EmptySubscriber ,start to remove NbpEmptySubscriber .[sentence: 1,-1] (#4094 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Ignore PMD and android studio, also check if push is still enabled.	Ignore PMD and android studio ,also check if push is still enabled .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge CancelledSubscriber into EmptySubscriber. (#4083)	Merge CancelledSubscriber[-2]into EmptySubscriber .[sentence: 1,-2] (#4083 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge NbpCancelledSubscriber into NbpEmptySubscriber. (#4085)	Merge NbpCancelledSubscriber into NbpEmptySubscriber .[sentence: 1,-1] (#4085 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Normalize request validation using SubscriptionHelper. (#4087)	Normalize request validation using SubscriptionHelper .[sentence: 1,-1] (#4087 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	More uses of SubscriptionHelper. (#4084)	More uses of SubscriptionHelper .[sentence: 1,-1] (#4084 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-3	Do not leak the DISPOSED marker instance into public API. (#4081)  If this were to be used by public code it could have have Very Bad��� effects by causing operators to think that they already disposed resources when they actually had not. Since `Disposable` is stateless it's safe for `disposed()` and `empty()` to be synonymous, although that might change in the future so both methods are retained.	Do not leak[-2][=0 negation]the DISPOSED[-2]marker instance into public API .[sentence: 1,-2] (#4081 )If this were to be used by public code it could have have Very Bad[-2][-1 booster word]���effects by causing operators to think that they already disposed[-2]resources when they actually had not .[sentence: 1,-3] Since `Disposable `is stateless it's safe[2]for `disposed[-2]()`and `empty ()`to be synonymous ,although that might change in the future so both methods are retained .[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	Replace custom empty Disposables with global instance. (#4080)	Replace custom empty Disposables with global instance .[sentence: 1,-1] (#4080 )[sentence: 1,-1] [result: max + and - of any sentence]
