Positive	Negative	Text	Explanation
2	-1	2.x: Enhance NPE messages (#4593)	2 .[sentence: 1,-1] x[2]:Enhance NPE messages (#4593 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: Add singleOrError, firstOrError, lastOrError & elementAtOrError to Observable and Flowable (#4589)  * 2.x: Add singleOrError, firstOrError, lastOrError & elementAtOrError to Observable and Flowable  * Address issues	2 .[sentence: 1,-1] x[2]:Add singleOrError ,firstOrError ,lastOrError &elementAtOrError to Observable and Flowable (#4589 )*2 .[sentence: 2,-1] x[2]:Add singleOrError ,firstOrError ,lastOrError &elementAtOrError to Observable and Flowable *Address issues [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: UnicastSubject fix onTerminate (#4592)	2 .[sentence: 1,-1] x[2]:UnicastSubject fix onTerminate (#4592 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: Report errors from onError to Plugin when done (#4590)	2 .[sentence: 1,-1] x[2]:Report errors[-2]from onError to Plugin when done (#4590 )[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	Highlight RC3 as done	Highlight RC3 as done [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Update changes.md for RC3	Update changes .[sentence: 1,-1] md for RC3 [sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: Add error assertion with predicate to TestSubscriber and TestObserver (#4586)  * Add error assertion with predicate (#4498)  * Add error assertion with predicate to TestObserver (#4498)	2 .[sentence: 1,-1] x[2]:Add error[-2]assertion with predicate to TestSubscriber and TestObserver (#4586 )*Add error[-2]assertion with predicate (#4498 )*Add error[-2]assertion with predicate to TestObserver (#4498 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x fix Flowable.create() not reporting null values properly, unify (#4583)  exception msg across	2 .[sentence: 1,-1] x[2]fix Flowable .[sentence: 2,-1] create ()not reporting null values[2]properly ,unify (#4583 )exception msg across [sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Remove unused import	Remove unused import [sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: Remove some dead code (#4581)	2 .[sentence: 1,-1] x[2]:Remove some dead[-3][--1 booster word]code (#4581 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: Add missing Maybe tests for concatWith & onErrorResumeNext (#4582)	2 .[sentence: 1,-1] x[2]:Add missing Maybe tests for concatWith &onErrorResumeNext (#4582 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: convert the Observable operators to return Single/Maybe (#4579)	2 .[sentence: 1,-1] x[2]:convert the Observable operators to return Single /Maybe (#4579 )[sentence: 2,-1] [result: max + and - of any sentence]
