Positive	Negative	Text	Explanation
1	-1	Make unit test more deterministic	Make unit test more deterministic [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Migrating from 'toObservable' to 'from' and using toBlockingObservable() where needed	Migrating from 'toObservable 'to 'from 'and using toBlockingObservable ()where needed [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Deprecating 'toObservable' duplications of 'from' methods	Deprecating 'toObservable 'duplications of 'from 'methods [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Move blocking operators to BlockingObservable  - see https://github.com/Netflix/RxJava/issues/270 for background	Move blocking[-2]operators to BlockingObservable[-2]-see https ://github .[sentence: 1,-2] com /Netflix /RxJava /issues /270 for background [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Moving "implementation detail" classes out of public API	Moving 'implementation detail 'classes out of public API [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Gradle Release Plugin - new version commit:  'rxjava-0.8.5'.	Gradle Release Plugin -new version commit :'rxjava -0 .[sentence: 1,-1] 8 .[sentence: 1,-1] 5 '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #269 from benjchristensen/observeOn  Fix concurrency bug in ScheduledObserver	Merge pull request #269 from benjchristensen /observeOn Fix concurrency bug[-2]in ScheduledObserver [sentence: 1,-2] [result: max + and - of any sentence]
2	-2	Fix concurrency bug in ScheduledObserver  This is a followup to https://github.com/Netflix/RxJava/commit/1fa6ae3be23200c787cc1c25c0bb8cac99ae0d17 that fixed one issue (concurrency) and created another (broke Rx contract by allowing concurrent execution of onNext).  I have reverted back to the previous implementatio and then attempted to fix the concurrency issue again.  I think it ended up being a simple fix ��� just re-ordering the `enqueue` method to remove the race-condition between the logic protected by the AtomicInteger and adding to the queue.  It's not an atomic operation (adding then processing) so we need to just add to the queue and treat it as an async data structure and keep the AtomicInteger portion to only protecting the "process or not process" logic.  ```java         // this must happen before 'counter' is used to provide synchronization between threads         queue.offer(notification); ```  This may still have issues but it's now working in all of my concurrency tests (the ones that broken with the original and then my modified version). The tests are not easy to build unit tests out of as they require running for many seconds and non-deterministically causing a race condition so I have not yet spend the time to try and figure out a deterministic unit test hence them not being committed.	Fix concurrency bug[-2]in ScheduledObserver This is a followup to https ://github .[sentence: 1,-2] com /Netflix /RxJava /commit /1fa6ae3be23200c787cc1c25c0bb8cac99ae0d17 that fixed one issue (concurrency )and created another (broke[-2]Rx contract by allowing concurrent execution of onNext ).[sentence: 1,-2] I have reverted[-2]back to the previous implementatio and then attempted to fix the concurrency issue again .[sentence: 1,-2] I think it ended up being a simple fix ���just re -ordering the `enqueue `method to remove the race -condition between the logic protected by the AtomicInteger and adding to the queue .[sentence: 1,-1] It's not an atomic operation (adding then processing )so we need to just add to the queue and treat[2]it as an async data structure and keep the AtomicInteger portion to only protecting the 'process or not process 'logic .[sentence: 2,-1] ```java //this must happen before 'counter 'is used to provide synchronization between threads queue .[sentence: 1,-1] offer (notification );```This may still have issues but it's now working in all of my concurrency tests (the ones that broken[-2]with the original and then my modified version ).[sentence: 1,-2] The tests are not easy to build unit tests out of as they require running for many seconds and non -deterministically causing a race condition so I have not yet spend the time to try and figure out a deterministic unit test hence them not being committed .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Gradle Release Plugin - new version commit:  'rxjava-0.8.4'.	Gradle Release Plugin -new version commit :'rxjava -0 .[sentence: 1,-1] 8 .[sentence: 1,-1] 4 '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #268 from benjchristensen/observeOn-fixes  Fix concurrency bug in ScheduledObserver	Merge pull request #268 from benjchristensen /observeOn -fixes Fix concurrency bug[-2]in ScheduledObserver [sentence: 1,-2] [result: max + and - of any sentence]
