Positive	Negative	Text	Explanation
1	-1	Merge pull request #3077 from ReactiveX/PLP  Add "since" annotations to javadocs for new Experimental/Beta methods	Merge pull request #3077 from ReactiveX /PLP Add 'since 'annotations to javadocs for new Experimental /Beta methods [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #3079 from davidmoten/foreach-javadoc  fix forEach javadoc	Merge pull request #3079 from davidmoten /foreach -javadoc fix forEach javadoc [sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #3085 from davidmoten/on-drop-test-fix  break tests as approach timeout so that don't fail on slow machines	Merge pull request #3085 from davidmoten /on -drop[-2]-test -fix break tests as approach timeout so that don't fail[-3][=0 negation]on slow machines [sentence: 1,-2] [result: max + and - of any sentence]
2	-1	Merge pull request #3086 from davidmoten/exec-sched-test-timing  improve ExecutorSchedulerTest.testOnBackpressureDrop	Merge pull request #3086 from davidmoten /exec -sched -test -timing improve[2]ExecutorSchedulerTest .[sentence: 2,-1] testOnBackpressureDrop [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	window() behavior changed, so did marble diagram & thus its size	window ()behavior changed ,so did marble diagram &thus its size [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge remote-tracking branch 'origin/1.x' into PLP	Merge remote -tracking branch 'origin /1 .[sentence: 1,-1] x[2]'into PLP [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #3093 from akarnokd/MergeAsyncTest  Fix request != 0 checking in the scalar paths of merge()	Merge pull request #3093 from akarnokd /MergeAsyncTest Fix request !=[+0.6 punctuation mood emphasis][sentence: 2,-1] 0 checking in the scalar paths of merge ()[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Fix request != 0 checking in the scalar paths of merge()	Fix request !=[+0.6 punctuation mood emphasis][sentence: 2,-1] 0 checking in the scalar paths of merge ()[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	1.0.13	1 .[sentence: 1,-1] 0 .[sentence: 1,-1] 13 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #3092 from benjchristensen/single-toObservable  Single.toObservable	Merge pull request #3092 from benjchristensen /single -toObservable Single .[sentence: 1,-1] toObservable [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #3091 from akarnokd/AutoConnectFix  Fix autoConnect calling onStart twice.	Merge pull request #3091 from akarnokd /AutoConnectFix Fix autoConnect calling onStart twice .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Single.toObservable	Single .[sentence: 1,-1] toObservable [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Private toObservable renamed to asObservable  - Making room for the public toObservable method.	Private toObservable renamed to asObservable -Making room for the public toObservable method .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fix autoConnect calling onStart twice.	Fix autoConnect calling onStart twice .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Merge pull request #3081 from abersnaze/cache-rollback  Revert of cache/replay	Merge pull request #3081 from abersnaze /cache -rollback Revert[-2]of cache /replay [sentence: 1,-2] [result: max + and - of any sentence]
2	-2	Revert "cache now supports backpressure"  This reverts commit 18ff5afd380625f9157d9e9a3144baf845c09086.	Revert[-2]'cache now supports[2]backpressure 'This reverts[-2]commit 18ff5afd380625f9157d9e9a3144baf845c09086 .[sentence: 2,-2] [result: max + and - of any sentence]
2	-2	Revert "If cache() now supports backpressure, correct javadocs to indicate this."  This reverts commit ec3d522c826c3135b9f5e3a9bb34f62756ec95cc.	Revert[-2]'If cache ()now supports[2]backpressure ,correct javadocs to indicate this .[sentence: 2,-2] 'This reverts[-2]commit ec3d522c826c3135b9f5e3a9bb34f62756ec95cc .[sentence: 1,-2] [result: max + and - of any sentence]
2	-2	Revert "Operator replay() now supports backpressure"  This reverts commit 82d7b9cca2efd0a8f36ec3b700bb8f34c445a093.	Revert[-2]'Operator replay ()now supports[2]backpressure 'This reverts[-2]commit 82d7b9cca2efd0a8f36ec3b700bb8f34c445a093 .[sentence: 2,-2] [result: max + and - of any sentence]
1	-2	Revert "No need to allocate a new head node."  This reverts commit 46f9138f509f22be61d435cfb79335396fc92c48.	Revert[-2]'No need to allocate a new head node .[sentence: 1,-2] 'This reverts[-2]commit 46f9138f509f22be61d435cfb79335396fc92c48 .[sentence: 1,-2] [result: max + and - of any sentence]
1	-3	reduce probability of ExecutorSchedulerTest.testOnBackpressureDrop failing on slow machine	reduce probability of ExecutorSchedulerTest .[sentence: 1,-1] testOnBackpressureDrop failing[-3]on slow machine [sentence: 1,-3] [result: max + and - of any sentence]
1	-1	break tests as approach timeout so that don't fail on slow machines	break tests as approach timeout so that don't fail[-3][=0 negation]on slow machines [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	fix forEach javadoc	fix forEach javadoc [sentence: 1,-1] [result: max + and - of any sentence]
