Positive	Negative	Text	Explanation
1	-1	Forgot the parameter null check.	Forgot the parameter null check .[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #3267 from akarnokd/OperatorGenerate2x  Operator generate: create an observable that generates values by calling	Merge pull request #3267 from akarnokd /OperatorGenerate2x Operator generate :create an observable that generates values[2]by calling [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	Operator generate: create an observable that generates values by calling  a function and handling backpressure/resource cleanup automatically.  The logic is based on @stealthcode 's SyncSubscriber proposal from 1.x but using only the lambda-form.	Operator generate :create an observable that generates values[2]by calling a function and handling backpressure /resource cleanup automatically .[sentence: 2,-1] The logic is based on @stealthcode 's SyncSubscriber proposal from 1 .[sentence: 1,-1] x[2]but using only the lambda -form .[sentence: 2,-1] [result: max + and - of any sentence]
1	-2	Forgot static modifier on unlock in Plugins.	Forgot static[-2]modifier on unlock in Plugins .[sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Merge pull request #3265 from akarnokd/RxJavaPluginsPerfFix  RxJavaPlugins performance enabling fix & lockdown.	Merge pull request #3265 from akarnokd /RxJavaPluginsPerfFix RxJavaPlugins performance enabling fix &lockdown .[sentence: 1,-1] [result: max + and - of any sentence]
2	-2	RxJavaPlugins performance enabling fix & lockdown.  By using null checks and direct returns we can avoid a dynamic dispatch on a volatile variable which always more expensive.  I've also added the `lockdown()` method to prevent any further changing of the plugin handlers. There is a `unlock` package-private method to allow testing the plugin in the locked state and then return to the unlocked state as other tests may want to install custom plugins.	RxJavaPlugins performance enabling fix &lockdown .[sentence: 1,-1] By using null checks and direct returns we can avoid[-2]a dynamic[2]dispatch on a volatile[-2]variable which always more expensive[-2].[sentence: 2,-2] I've also added the `lockdown ()`method to prevent any further changing of the plugin handlers .[sentence: 1,-1] There is a `unlock `package -private method to allow testing the plugin in the locked state and then return to the unlocked state as other tests may want to install custom plugins .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #3264 from akarnokd/AsyncObserver2x  AsyncObserver	Merge pull request #3264 from akarnokd /AsyncObserver2x AsyncObserver [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	AsyncObserver  It is meant to be somewhat a replacement for 1.x rx.Subscriber, but it doesn't support Subscriber chaining.  I call it Observer because one only needs to implement onNext, onError and onComplete as with rx.Observer	AsyncObserver It is meant to be somewhat a replacement for 1 .[sentence: 1,-1] x[2]rx .[sentence: 2,-1] Subscriber ,but it doesn't support[2]Subscriber chaining .[sentence: 2,-1] I call it Observer because one only needs to implement onNext ,onError and onComplete as with rx .[sentence: 1,-1] Observer [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #3263 from akarnokd/SubjectNullSafe2x  Subjects onNext and onError null safety	Merge pull request #3263 from akarnokd /SubjectNullSafe2x Subjects onNext and onError null safety[2][sentence: 2,-1] [result: max + and - of any sentence]
2	-1	Subjects onNext and onError null safety	Subjects onNext and onError null safety[2][sentence: 2,-1] [result: max + and - of any sentence]
