Positive	Negative	Text	Explanation
1	-1	Merge pull request #990 from puniverse/master  Quasar integration contrib module	Merge pull request #990 from puniverse /master Quasar integration contrib module [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Version 0.17.3	Version 0 .[sentence: 1,-1] 17 .3 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - new version commit:  '0.17.4-SNAPSHOT'.	[Gradle Release Plugin ]-new version commit :'0 .[sentence: 1,-1] 17 .[sentence: 1,-1] 4 -SNAPSHOT '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	[Gradle Release Plugin] - pre tag commit:  '0.17.3'.	[Gradle Release Plugin ]-pre tag commit :'0 .[sentence: 1,-1] 17 .[sentence: 1,-1] 3 '.[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #999 from benjchristensen/serialize-optimizations  New Implementation of SerializedObserver	Merge pull request #999 from benjchristensen /serialize -optimizations New Implementation of SerializedObserver [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Fix unit test determinism	Fix unit test determinism [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	comments to walk through logic	comments to walk through logic [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Use latches instead of sleep for unit test  As per suggestion at https://github.com/benjchristensen/RxJava/commit/5b317ad827f624bed6cbf5f2e04df050ebbe01d0#commitcomment-5839773	Use latches instead of sleep for unit test As per suggestion at https ://github .[sentence: 1,-1] com /benjchristensen /RxJava /commit /5b317ad827f624bed6cbf5f2e04df050ebbe01d0 #commitcomment -5839773 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #1003 from rickbw/callable-func0  Func0 can transparently implement java.util.concurrent.Callable.	Merge pull request #1003 from rickbw /callable -func0 Func0 can transparently implement java .[sentence: 1,-1] util .[sentence: 1,-1] concurrent .[sentence: 1,-1] Callable .[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Func0 can transparently implement java.util.concurrent.Callable.  This change doesn't change the API at all for users of Func0, but it makes all Func0 objects immediately reusable with any JDK API that accepts Callables. For example, a Func0 can now be submitted directly to an ExecutorService for asynchronous execution. It also allows the elimination of a small amount of redundant code within RxJava itself.	Func0 can transparently implement java .[sentence: 1,-1] util .[sentence: 1,-1] concurrent .[sentence: 1,-1] Callable .[sentence: 1,-1] This change doesn't change the API at all for users of Func0 ,but it makes all Func0 objects immediately reusable with any JDK API that accepts Callables .[sentence: 1,-1] For example ,a Func0 can now be submitted directly to an ExecutorService for asynchronous execution .[sentence: 1,-1] It also allows the elimination[-2]of a small amount of redundant[-2]code within RxJava itself .[sentence: 1,-2] [result: max + and - of any sentence]
1	-3	Update SerializedObserver to Not Allow Notification Delay  Unit test showing delays. Fails when MAX_DRAIN_ITERATION set to 1, passes as currently configured. Added a thread starvation unit test and marked as ignored for now. Doesn't pass even with MAX_DRAIN_ITERATION set to 1. Probably needs backpressure solution.	Update SerializedObserver to Not Allow Notification Delay[-2]Unit test showing delays .[sentence: 1,-2] Fails[-3]when MAX _DRAIN _ITERATION set to 1 ,passes as currently configured .[sentence: 1,-3] Added a thread starvation[-2]unit test and marked as ignored for now .[sentence: 1,-2] Doesn't pass even with MAX _DRAIN _ITERATION set to 1 .[sentence: 1,-1] Probably needs backpressure solution .[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #996 from rspieldenner/perfshadowjar  Perfshadowjar	Merge pull request #996 from rspieldenner /perfshadowjar Perfshadowjar [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	tabs to spaces	tabs to spaces [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Produce a shadow'd jar for the performance benchmarks	Produce a shadow'd jar for the performance benchmarks [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #995 from benjchristensen/jmh-args  Support Custom JMH Args	Merge pull request #995 from benjchristensen /jmh -args Support[2]Custom JMH Args [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	Support Custom JMH Args	Support[2]Custom JMH Args [sentence: 2,-1] [result: max + and - of any sentence]
