Positive	Negative	Text	Explanation
1	-1	Feature/#5045 more generics in RxJavaPlugins (#5058)  * widen bounds  * widen bounds  * add test to ensure generics  * use wildcard import for io.reactivex	Feature /#5045 more generics in RxJavaPlugins (#5058 )*widen bounds *widen bounds *add test to ensure generics *use wildcard import for io .[sentence: 1,-1] reactivex [sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: cancel upstream first, dispose worker last (#5075)	2 .[sentence: 1,-1] x[2]:cancel[-2]upstream first ,dispose[-2]worker last (#5075 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: compatibility fixes (JDK 9 & IntelliJ 2017.1 EAP) (#5069)	2 .[sentence: 1,-1] x[2]:compatibility fixes (JDK 9 &IntelliJ 2017 .[sentence: 2,-1] 1 EAP )(#5069 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Update README.md (#5068)  * Update README.md  Error:(13, 38) java: variable v is already defined in method main(java.lang.String[])  * Update README.md	Update README .[sentence: 1,-1] md (#5068 )*Update README .[sentence: 1,-1] md Error[-2]:(13 ,38 )java :variable v is already defined in method main (java .[sentence: 1,-2] lang .[sentence: 1,-1] String [])*Update README .[sentence: 1,-1] md [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Update codecov.yml (#5066)	Update codecov .[sentence: 1,-1] yml (#5066 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: increase sleep time in XFlatMapTest	2 .[sentence: 1,-1] x[2]:increase sleep time in XFlatMapTest [sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: fix replay() cancel/dispose NPE (#5064)	2 .[sentence: 1,-1] x[2]:fix replay ()cancel[-2]/dispose[-2]NPE (#5064 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: update readme parallel example (#5062)	2 .[sentence: 1,-1] x[2]:update readme parallel example (#5062 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-2	use bounded wildcards for errorHandler (fixes #5045) (#5049)  * use bounded wildcards for errorHandler (fixes #5045)  * add test to ensure signature	use bounded wildcards for errorHandler[-2](fixes #5045 )(#5049 )*use bounded wildcards for errorHandler[-2](fixes #5045 )*add test to ensure signature [sentence: 1,-2] [result: max + and - of any sentence]
3	-2	2.x: Feature/#4876 more null checks (#5055)  * add NotNull annotations add assertion to help static code analysis  * avoid false positive  * add annotations and assert statement to help static code analysis  * remove redundant check  * mark parameter as nullable  * add test to reproduce npe  * add null check for avoid npe  * parameter time unit marked as @NonNull  * add annotations and assert to help static code analysis  * remove assert statements  * add missing annotation  * add comment for test case	2 .[sentence: 1,-1] x[2]:Feature /#4876 more null checks (#5055 )*add NotNull annotations add assertion to help static[-2]code analysis *avoid[-2]false positive[3]*add annotations and assert statement to help static[-2]code analysis *remove redundant[-2]check *mark parameter as nullable *add test to reproduce npe *add null check for avoid[-2]npe *parameter time unit marked as @NonNull *add annotations and assert to help static[-2]code analysis *remove assert statements *add missing annotation *add comment for test case [sentence: 3,-2] [result: max + and - of any sentence]
2	-1	2.x: document (internal) SimpleQueue (#5056)	2 .[sentence: 1,-1] x[2]:document (internal )SimpleQueue (#5056 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Another adjustment to codecov.yml	Another adjustment to codecov .[sentence: 1,-1] yml [sentence: 1,-1] [result: max + and - of any sentence]
