Positive	Negative	Text	Explanation
1	-1	Combine RefCountTest and RefCountTests	Combine RefCountTest and RefCountTests [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #422 from ragalie/jruby  JRuby function wrapping support	Merge pull request #422 from ragalie /jruby JRuby function wrapping support[2][sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #420 from samuelgruetter/scalaadaptor  Scala Adaptor	Merge pull request #420 from samuelgruetter /scalaadaptor Scala Adaptor [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #415 from zsxwing/empty-with-scheduler  Implemented the 'Empty' operator with scheduler	Merge pull request #415 from zsxwing /empty -with -scheduler Implemented the 'Empty 'operator with scheduler [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #414 from zsxwing/skip-last  Implemented the 'SkipLast' operator	Merge pull request #414 from zsxwing /skip -last Implemented the 'SkipLast 'operator [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	Merge pull request #413 from zsxwing/take-last  Fixed the issues of takeLast(items, 0) and null values	Merge pull request #413 from zsxwing /take -last Fixed the issues of takeLast (items ,0 )and null values[2][sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #411 from petermd/fix-schedtests  update counter before triggering latch	Merge pull request #411 from petermd /fix -schedtests update counter before triggering latch [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #410 from zsxwing/contains  Implemented the 'Contains' operator	Merge pull request #410 from zsxwing /contains Implemented the 'Contains 'operator [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge pull request #425 from benjchristensen/pull-407-refCount  Manual Merge of Pull Request #407	Merge pull request #425 from benjchristensen /pull -407 -refCount Manual Merge of Pull Request #407 [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Unit Test while testing refCount submission	Unit Test while testing refCount submission [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Merge branch 'master' of github.com:johnhmarks/RxJava into pull-407-refCount	Merge branch 'master 'of github .[sentence: 1,-1] com :johnhmarks /RxJava into pull -407 -refCount [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	JRuby README include usage instructions	JRuby README include usage instructions [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	Up rspec version	Up rspec version [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	JRuby license headers	JRuby license headers [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	JRuby README	JRuby README [sentence: 1,-1] [result: max + and - of any sentence]
3	-2	Handle OnSubscribeFuncs correctly in JRuby interop logic  OnSubscribeFunc#onSubscribe expects to return a Subscription. I am unable to successfully cast the return value of a RubyProc, even if that value _is_ an object that implements the Subscription interface, into a Subscription in Java-land (Java reports that ConcreteJavaProxy cannot be cast). Instead I allow JRuby to handle OnSubscribeFunc arguments through its default proxy logic, which works correctly.	Handle OnSubscribeFuncs correctly in JRuby interop logic OnSubscribeFunc #onSubscribe expects to return a Subscription .[sentence: 1,-1] I am unable to successfully[3]cast the return value[2]of a RubyProc ,even if that value[2]_is _an object that implements the Subscription interface ,into a Subscription in Java -land (Java reports that ConcreteJavaProxy cannot be cast ).[sentence: 3,-1] Instead I allow JRuby to handle OnSubscribeFunc arguments[-2]through its default[-2]proxy logic ,which works correctly .[sentence: 1,-2] [result: max + and - of any sentence]
1	-1	JRuby performance test	JRuby performance test [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	JRuby wrapper specs	JRuby wrapper specs [sentence: 1,-1] [result: max + and - of any sentence]
2	-2	Implement JRuby function wrapping support  Whenever a RubyProc is passed into an Observable method, wrap it in a Java class that implements the correct RxJava interfaces. This avoids ambiguous method errors and costly proxy instantiations by JRuby's default method delegation logic.	Implement JRuby function wrapping support[2]Whenever a RubyProc is passed into an Observable method ,wrap it in a Java class that implements the correct RxJava interfaces .[sentence: 2,-1] This avoids[-2]ambiguous[-2]method errors[-2]and costly[-2]proxy instantiations by JRuby's default[-2]method delegation logic .[sentence: 1,-2] [result: max + and - of any sentence]
1	-1	update completeness test	update completeness test [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	use Tuple instead of Timestamped	use Tuple instead of Timestamped [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	remove takeWhileWithIndex	remove takeWhileWithIndex [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	rename fold to foldLeft	rename fold to foldLeft [sentence: 1,-1] [result: max + and - of any sentence]
2	-1	improve scaladoc	improve[2]scaladoc [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	changes from review + scaladoc improvements	changes from review +scaladoc improvements[2][sentence: 2,-1] [result: max + and - of any sentence]
1	-1	head, headOrElse, zip(3), zip(4)	head ,headOrElse ,zip (3 ),zip (4 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-1	apply review patch	apply review patch [sentence: 1,-1] [result: max + and - of any sentence]
1	-1	make defer implementation more explicit	make defer implementation more explicit [sentence: 1,-1] [result: max + and - of any sentence]
