Positive	Negative	Text	Explanation
2	-1	2.x: make parallel() a fusion-async-boundary (#5677)	2 .[sentence: 1,-1] x[2]:make parallel ()a fusion -async -boundary (#5677 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: Add PublishProcessor JMH perf comparison (#5675)	2 .[sentence: 1,-1] x[2]:Add PublishProcessor JMH perf comparison (#5675 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: coverage, add SingleToFlowableTest (#5673)	2 .[sentence: 1,-1] x[2]:coverage ,add SingleToFlowableTest (#5673 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-2	2.x: fix PublishProcessor cancel/emission overflow bug (#5669)	2 .[sentence: 1,-1] x[2]:fix PublishProcessor cancel[-2]/emission overflow[-2]bug[-2](#5669 )[sentence: 2,-2] [result: max + and - of any sentence]
1	-1	Fix a misleading documentation of Observable.singleElement() (#5668)  * Fix a misleading documentation of Observable.singleElement()  * Reduce the first part of Observable.singleElement() JavaDoc to a single sentence.  * Update the Marble diagram of Observable.singleElement()	Fix a misleading documentation of Observable .[sentence: 1,-1] singleElement ()(#5668 )*Fix a misleading documentation of Observable .[sentence: 1,-1] singleElement ()*Reduce the first part of Observable .[sentence: 1,-1] singleElement ()JavaDoc to a single sentence .[sentence: 1,-1] *Update the Marble diagram of Observable .[sentence: 1,-1] singleElement ()[sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: improve Flowable.timeout() (#5661)  * 2.x: improve Flowable.timeout()  * Remove the now unused FullArbiter(Subscriber)  * Don't read the volatile twice	2 .[sentence: 1,-1] x[2]:improve[2]Flowable .[sentence: 2,-1] timeout ()(#5661 )*2 .[sentence: 1,-1] x[2]:improve[2]Flowable .[sentence: 2,-1] timeout ()*Remove the now unused FullArbiter (Subscriber )*Don't read the volatile[-2]twice [sentence: 1,-2] [result: max + and - of any sentence]
1	-2	Fix broken license link (#5662)	Fix broken[-2]license link (#5662 )[sentence: 1,-2] [result: max + and - of any sentence]
1	-1	Upgrade testng to get method names to show up in gradle console when skipping, and in testng html output. (#5653)	Upgrade testng to get method names to show up in gradle console when skipping ,and in testng html output .[sentence: 1,-1] (#5653 )[sentence: 1,-1] [result: max + and - of any sentence]
1	-2	Fix mistakes in observers package info, fix generics	Fix mistakes[-2]in observers package info ,fix generics [sentence: 1,-2] [result: max + and - of any sentence]
2	-1	2.x: inline disposability in Obs.concatMap(Completable) (#5652)	2 .[sentence: 1,-1] x[2]:inline disposability in Obs .[sentence: 2,-1] concatMap (Completable )(#5652 )[sentence: 1,-1] [result: max + and - of any sentence]
